------- Teste Iniciado -------
Tempo de Análise: 00:00:00.0000208
1100,(-11.28, 1.08, -0.09),(-19.03, 1.51, 3.05),00:00:00.0000321
------- Teste Finalizado --------
------- Teste Iniciado -------
Tempo de Análise: 00:00:00.0000364
966,(-15.51, 1.65, -5.26),(-15.51, 1.65, -5.26),00:00:00.0000364
967,(-15.53, 1.32, -5.25),(-15.50, 1.64, -5.26),00:00:00.0000489
969,(-15.55, 1.23, -5.24),(-15.49, 1.61, -5.26),00:00:00.0000183
971,(-15.56, 1.08, -5.24),(-15.48, 1.58, -5.25),00:00:00.0000151
972,(-15.57, 1.08, -5.24),(-15.47, 1.56, -5.25),00:00:00.0000155
973,(-15.57, 1.08, -5.24),(-15.46, 1.54, -5.24),00:00:00.0000158
974,(-15.57, 1.08, -5.24),(-15.45, 1.52, -5.23),00:00:00.0000143
975,(-15.57, 1.08, -5.24),(-15.44, 1.50, -5.22),00:00:00.0000152
977,(-15.57, 1.08, -5.24),(-15.41, 1.49, -5.18),00:00:00.0000323
978,(-15.57, 1.08, -5.24),(-15.39, 1.49, -5.15),00:00:00.0000325
979,(-15.57, 1.08, -5.24),(-15.38, 1.49, -5.12),00:00:00.0000150
980,(-15.57, 1.08, -5.24),(-15.36, 1.50, -5.09),00:00:00.0000301
982,(-15.57, 1.08, -5.24),(-15.32, 1.52, -5.02),00:00:00.0000310
983,(-15.57, 1.08, -5.24),(-15.30, 1.53, -4.98),00:00:00.0000142
984,(-15.57, 1.08, -5.24),(-15.28, 1.54, -4.95),00:00:00.0000148
986,(-15.57, 1.08, -5.24),(-15.24, 1.57, -4.88),00:00:00.0000324
987,(-15.57, 1.08, -5.24),(-15.22, 1.58, -4.85),00:00:00.0000329
988,(-15.57, 1.08, -5.24),(-15.20, 1.58, -4.83),00:00:00.0000151
990,(-15.57, 1.08, -5.24),(-15.16, 1.58, -4.78),00:00:00.0000139
991,(-15.57, 1.08, -5.24),(-15.14, 1.58, -4.76),00:00:00.0000239
993,(-15.57, 1.08, -5.24),(-15.10, 1.56, -4.71),00:00:00.0000196
995,(-15.57, 1.08, -5.24),(-15.07, 1.54, -4.65),00:00:00.0000206
997,(-15.57, 1.08, -5.24),(-15.04, 1.51, -4.58),00:00:00.0000308
998,(-15.57, 1.08, -5.24),(-15.03, 1.49, -4.54),00:00:00.0000145
999,(-15.57, 1.08, -5.23),(-15.02, 1.48, -4.49),00:00:00.0000149
1001,(-15.59, 1.08, -5.23),(-15.02, 1.47, -4.38),00:00:00.0000142
1003,(-15.64, 1.08, -5.20),(-15.03, 1.47, -4.26),00:00:00.0000303
1004,(-15.70, 1.08, -5.17),(-15.03, 1.48, -4.20),00:00:00.0000144
1005,(-15.75, 1.08, -5.14),(-15.04, 1.48, -4.13),00:00:00.0000186
1007,(-15.80, 1.08, -5.11),(-15.06, 1.50, -4.00),00:00:00.0000244
1009,(-15.87, 1.08, -5.07),(-15.08, 1.50, -3.88),00:00:00.0000142
1010,(-15.93, 1.08, -5.03),(-15.08, 1.50, -3.82),00:00:00.0000146
1011,(-15.98, 1.08, -5.00),(-15.09, 1.50, -3.76),00:00:00.0000139
1012,(-16.02, 1.08, -4.97),(-15.09, 1.50, -3.70),00:00:00.0000146
1014,(-16.07, 1.08, -4.94),(-15.10, 1.50, -3.58),00:00:00.0000163
1015,(-16.05, 1.08, -4.78),(-15.10, 1.50, -3.52),00:00:00.0000212
1016,(-16.07, 1.08, -4.71),(-15.11, 1.50, -3.46),00:00:00.0000343
1017,(-16.11, 1.08, -4.69),(-15.11, 1.50, -3.40),00:00:00.0000146
1018,(-16.15, 1.08, -4.67),(-15.12, 1.51, -3.34),00:00:00.0000149
1020,(-16.20, 1.08, -4.67),(-15.13, 1.53, -3.22),00:00:00.0000198
1021,(-16.26, 1.08, -4.66),(-15.14, 1.54, -3.15),00:00:00.0000524
1023,(-16.33, 1.08, -4.65),(-15.16, 1.55, -3.03),00:00:00.0000168
1024,(-16.40, 1.08, -4.64),(-15.18, 1.55, -2.97),00:00:00.0000152
1025,(-16.45, 1.08, -4.63),(-15.19, 1.55, -2.91),00:00:00.0000335
1026,(-16.50, 1.08, -4.62),(-15.20, 1.55, -2.84),00:00:00.0000167
1028,(-16.55, 1.08, -4.61),(-15.24, 1.53, -2.71),00:00:00.0000149
1030,(-16.62, 1.08, -4.59),(-15.28, 1.51, -2.56),00:00:00.0000146
1032,(-16.71, 1.08, -4.58),(-15.35, 1.50, -2.42),00:00:00.0000165
1034,(-16.79, 1.08, -4.56),(-15.43, 1.50, -2.28),00:00:00.0000156
1035,(-16.87, 1.08, -4.55),(-15.47, 1.50, -2.20),00:00:00.0000162
1036,(-16.91, 1.08, -4.54),(-15.52, 1.51, -2.13),00:00:00.0000189
1037,(-16.96, 1.08, -4.54),(-15.56, 1.51, -2.06),00:00:00.0000160
